재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,ifrs-full_Revenue,영업수익,"19,959,493,919","76,779,803,060","92,775,359,629"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,dart_OperatingExpenses,영업비용,"26,279,506,934","78,838,324,995","89,230,314,682"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"-6,320,013,015","-2,058,521,935","3,545,044,947"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,ifrs-full_FinanceIncome,금융수익,"500,546,858","910,974,594","523,867,391"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,ifrs-full_FinanceCosts,금융비용,"489,493,409","688,190,828","777,843,031"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,dart_OtherGains,기타영업외수익,"210,446,607","101,563,591","1,143,132,418"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,dart_OtherLosses,기타영업외비용,"665,116,090","112,763,904","98,236,257"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,entity00632845_udf_IS_202131114322533_StatementOfComprehensiveIncomeAbstract,관계기업투자관련손실,,,"30,181,200"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"-6,763,629,049","-1,846,938,482","4,305,784,268"
"포괄손익계산서, 성격별 분류(세후기타포괄손익) - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-12-31,사업보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세수익,"-862,357,504","-191,105,548","-180,261,706"
